time, count
1,1
6,1
12,1
13,1
14,2
16,1
17,1
18,1
19,1
21,2
26,2
27,1
29,1
31,1
34,1
36,1
37,3
38,2
39,1
40,6
41,3
42,1
43,2
44,3
45,1
46,1
47,1
48,2
49,2
50,3
52,1
53,1
54,5
55,1
56,3
58,2
60,2
61,1
62,2
63,1
64,4
66,2
67,1
68,3
70,1
71,2
73,1
74,1
75,3
76,2
77,1
78,1
79,1
84,2
85,3
86,2
88,2
90,1
95,1
96,1
97,2
98,1
99,1
100,1
103,1
105,1
106,1
107,1
108,1
109,2
110,1
111,1
113,2
114,1
115,1
117,1
118,2
119,2
120,2
123,2
124,1
131,1
133,1
140,1
143,1
145,1
150,3
152,1
153,1
154,1
155,1
156,1
159,1
160,1
161,2
163,1
167,1
170,1
172,1
173,2
174,1
176,2
177,1
181,1
182,1
184,1
185,1
186,2
188,1
191,1
192,2
193,1
194,1
195,2
196,1
199,1
200,1
202,1
203,1
208,1
211,3
212,1
215,1
216,1
217,3
218,2
222,1
224,3
225,1
226,3
230,2
232,1
234,2
235,2
237,1
242,1
243,1
244,2
246,2
248,1
250,2
253,2
256,1
257,1
260,1
261,1
265,1
268,1
275,1
286,1
287,1
289,1
291,1
292,1
293,1
297,2
299,1
301,1
306,4
308,2
310,1
311,2
316,1
317,1
320,1
321,2
323,1
324,1
326,4
327,1
331,1
332,1
335,1
336,1
340,2
343,1
345,1
346,1
348,3
350,3
351,1
352,2
354,1
355,2
358,1
359,1
362,1
364,1
365,1
368,1
369,1
370,1
375,3
376,2
379,3
380,1
384,2
386,1
388,1
390,1
391,1
392,1
394,2
397,1
400,1
404,2
410,1
412,1
413,2
414,1
415,1
416,1
417,4
418,2
420,1
423,1
430,1
431,2
433,3
434,2
435,2
439,1
440,1
445,1
446,1
447,1
451,1
453,1
454,1
455,1
456,1
457,1
459,3
461,1
463,2
466,1
467,1
468,1
471,2
473,1
474,1
475,2
476,3
477,1
478,2
480,1
481,2
482,1
485,2
486,2
488,1
490,1
493,1
494,1
496,2
498,2
502,1
503,1
505,1
507,2
510,3
514,2
517,1
519,1
521,1
522,1
524,2
525,1
528,1
529,1
531,2
532,1
533,1
537,1
538,1
540,1
541,1
542,1
543,3
544,1
549,1
552,1
555,1
556,1
557,2
559,1
561,1
562,1
563,2
574,1
578,1
579,1
581,1
582,1
583,2
585,1
587,2
589,1
590,1
591,2
593,2
594,1
599,1
601,1
607,2
608,1
611,2
614,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
625,2
627,1
628,1
629,2
630,1
631,1
632,2
639,1
641,1
643,2
644,1
654,1
657,1
658,2
659,1
660,1
661,1
664,2
667,2
668,1
671,1
672,2
674,3
676,1
677,1
678,1
679,1
683,1
684,3
685,1
686,1
692,2
693,3
696,1
697,2
698,3
699,1
702,1
708,2
711,1
712,1
715,1
717,2
718,1
720,1
721,1
722,1
725,3
729,3
730,1
731,1
734,1
738,1
740,1
746,1
749,2
751,1
753,2
754,2
755,1
758,2
760,2
761,1
764,1
765,2
766,1
769,2
774,1
775,1
776,1
777,1
778,1
779,1
780,1
782,1
783,2
785,1
787,1
788,2
789,2
790,1
791,1
792,2
795,1
796,2
798,1
801,1
803,1
806,1
811,1
812,1
814,2
818,1
819,1
820,2
822,2
824,2
825,1
826,1
828,2
831,1
832,1
834,2
838,1
840,1
841,1
844,2
846,1
847,1
849,3
850,2
851,1
853,1
854,1
855,1
857,1
859,1
860,1
862,1
863,1
864,2
866,3
867,1
868,1
869,1
871,1
874,1
876,1
877,1
878,1
879,1
881,1
883,1
884,1
885,2
888,1
894,2
895,4
896,1
897,1
898,1
899,1
902,1
903,1
905,1
909,1
911,1
917,1
